date,clock,stadium,attendance,Home Team,Goals Home,Away Team,Away Goals,home_possessions,away_possessions,home_shots,away_shots,home_on,away_on,home_off,away_off,home_blocked,away_blocked,home_pass,away_pass,home_chances,away_chances,home_corners,away_corners,home_offside,away_offside,home_tackles,away_tackles,home_duels,away_duels,home_saves,away_saves,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,links
8th April 2023,3:00pm,Tottenham Hotspur Stadium,"61,405",Tottenham Hotspur,2,Brighton and Hove Albion,1,35.2,64.8,9,17,3,4,4,5,2,8,77.3,87.1,0,2,3,7,2,1,58.8,44.4,33.3,66.7,3,1,15,15,3,1,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-brighton-and-hove-albion/464933
8th April 2023,3:00pm,Molineux,"31,614",Wolverhampton Wanderers,1,Chelsea,0,37.6,62.4,9,13,4,1,3,4,2,8,74.5,83.6,0,0,8,8,2,1,59.1,55.6,36,64,1,3,14,10,2,5,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-chelsea/464934
8th April 2023,5:30pm,St. Mary's Stadium,"30,963",Southampton,1,Manchester City,4,27.2,72.8,4,13,1,8,2,2,1,3,75.3,89.2,1,3,0,10,0,2,81.8,77.8,35,65,4,0,6,10,0,2,0,0,https://www.skysports.com/football/southampton-vs-manchester-city/464932
5th April 2023,8:00pm,Old Trafford,"73,309",Manchester United,1,Brentford,0,64.7,35.3,18,6,3,1,8,4,7,1,85.7,76.1,1,1,12,3,2,1,73.3,72.2,57.5,42.5,1,2,9,13,3,2,0,0,https://www.skysports.com/football/manchester-united-vs-brentford/464881
5th April 2023,8:00pm,London Stadium,"62,470",West Ham United,1,Newcastle United,5,42,58,7,15,2,8,3,5,2,2,73.6,80.7,1,4,7,6,0,0,38.5,58.3,38.7,61.3,2,1,11,12,2,1,0,0,https://www.skysports.com/football/west-ham-united-vs-newcastle-united/464704
4th April 2023,7:45pm,Vitality Stadium,"10,266",Bournemouth,0,Brighton and Hove Albion,2,36.7,63.3,14,16,3,6,6,9,5,1,78.2,87.1,1,3,5,5,1,0,44.4,52.9,46.2,53.8,4,3,11,5,1,1,0,0,https://www.skysports.com/football/bournemouth-vs-brighton-and-hove-albion/464696
4th April 2023,7:45pm,Elland Road,"36,740",Leeds United,2,Nottingham Forest,1,62.4,37.6,21,13,6,1,6,4,9,8,81.2,66.9,1,0,11,4,3,3,60,27.8,60.5,39.5,0,4,11,13,1,4,0,0,https://www.skysports.com/football/leeds-united-vs-nottingham-forest/464699
4th April 2023,7:45pm,The King Power Stadium,"32,087",Leicester City,1,Aston Villa,2,35.9,64.1,9,15,4,5,4,5,1,5,74.5,88.2,2,1,4,8,2,1,68.4,42.9,37.5,62.5,3,3,10,14,2,0,1,0,https://www.skysports.com/football/leicester-city-vs-aston-villa/464700
4th April 2023,8:00pm,Stamford Bridge,"40,093",Chelsea,0,Liverpool,0,49.6,50.4,12,7,3,4,7,0,2,3,83.7,83.6,3,0,3,5,4,3,75,53.8,44.4,55.6,3,2,6,17,1,4,0,0,https://www.skysports.com/football/chelsea-vs-liverpool/464708
3rd April 2023,8:00pm,Goodison Park,"39,294",Everton,1,Tottenham Hotspur,1,39.3,60.7,15,8,6,2,5,5,4,1,80.4,84.2,1,1,3,3,1,3,65.2,57.1,46.4,53.6,0,5,10,14,0,3,1,1,https://www.skysports.com/football/everton-vs-tottenham-hotspur/464920
2nd April 2023,2:00pm,London Stadium,"62,465",West Ham United,1,Southampton,0,43,57,12,9,2,3,7,4,3,2,73.4,83.6,2,0,5,3,1,1,67.9,57.7,38.7,61.3,3,2,10,11,0,2,0,0,https://www.skysports.com/football/west-ham-united-vs-southampton/464924
2nd April 2023,4:30pm,"St James' Park, Newcastle","52,268",Newcastle United,2,Manchester United,0,45.7,54.3,22,6,6,1,9,3,7,2,77,81.1,3,0,7,4,1,0,68.2,66.7,63.6,36.4,1,4,8,12,0,0,0,0,https://www.skysports.com/football/newcastle-united-vs-manchester-united/464922
1st April 2023,12:30p,Etihad Stadium,"52,877",Manchester City,4,Liverpool,1,68.1,31.9,17,4,8,1,3,0,6,3,91.9,82.3,3,0,7,1,3,5,0,66.7,12.5,87.5,0,4,9,12,1,1,0,0,https://www.skysports.com/football/manchester-city-vs-liverpool/464921
1st April 2023,3:00pm,Emirates Stadium,"60,283",Arsenal,4,Leeds United,1,67.1,32.9,13,7,6,5,2,1,5,1,85.5,71.7,5,0,4,3,5,1,60,57.1,62.5,37.5,4,1,11,13,0,2,0,0,https://www.skysports.com/football/arsenal-vs-leeds-united/464915
1st April 2023,3:00pm,Vitality Stadium,"10,305",Bournemouth,2,Fulham,1,42.7,57.3,12,10,7,2,3,6,2,2,76.6,85.5,2,0,4,3,1,1,76.5,57.9,52.2,47.8,1,4,15,13,1,4,0,0,https://www.skysports.com/football/bournemouth-vs-fulham/464916
1st April 2023,3:00pm,Amex Stadium,"31,493",Brighton and Hove Albion,3,Brentford,3,72.2,27.8,33,7,15,5,8,1,10,1,87.1,66.1,4,2,14,0,2,2,66.7,43.8,61.5,38.5,2,11,16,10,2,1,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-brentford/464917
1st April 2023,3:00pm,Selhurst Park,"25,143",Crystal Palace,2,Leicester City,1,51,49,31,3,9,2,8,0,14,1,80,77.5,2,0,10,1,1,2,66.7,50,46.9,53.1,1,8,12,16,3,4,0,0,https://www.skysports.com/football/crystal-palace-vs-leicester-city/464919
1st April 2023,3:00pm,The City Ground,"29,368",Nottingham Forest,1,Wolverhampton Wanderers,1,27.6,72.4,17,8,7,1,7,3,3,4,68.9,85.1,0,0,4,3,2,0,53.3,42.9,51.5,48.5,0,6,14,13,3,5,0,0,https://www.skysports.com/football/nottingham-forest-vs-wolverhampton-wanderers/464923
1st April 2023,5:30pm,Stamford Bridge,"40,082",Chelsea,0,Aston Villa,2,69,31,27,5,8,2,15,3,4,0,90.5,75.1,2,1,13,2,2,0,72.2,58.3,45.8,54.2,0,7,14,16,3,3,0,0,https://www.skysports.com/football/chelsea-vs-aston-villa/464918
19th March 2023,2:00pm,Emirates Stadium,"60,247",Arsenal,4,Crystal Palace,1,62.2,37.8,15,9,5,5,5,1,5,3,86.7,77.9,1,1,5,4,2,2,60,55.6,62.1,37.9,4,1,8,10,0,1,0,0,https://www.skysports.com/football/arsenal-vs-crystal-palace/464905
18th March 2023,3:00pm,Villa Park,"41,021",Aston Villa,3,Bournemouth,0,55.8,44.2,20,10,9,3,3,4,8,3,85.2,84,5,0,9,6,0,2,62.5,75,43.8,56.3,3,6,8,13,1,4,0,0,https://www.skysports.com/football/aston-villa-vs-bournemouth/464906
18th March 2023,3:00pm,Gtech Community Stadium,"17,006",Brentford,1,Leicester City,1,52.9,47.1,11,14,2,1,2,6,7,7,77.3,80.1,0,1,8,4,1,3,77.3,41.7,51.6,48.4,0,1,10,11,1,2,1,0,https://www.skysports.com/football/brentford-vs-leicester-city/464907
18th March 2023,3:00pm,St. Mary's Stadium,"30,157",Southampton,3,Tottenham Hotspur,3,50.4,49.6,19,17,7,3,7,9,5,5,84.9,83.8,2,2,10,3,2,1,76.9,68.4,41.7,58.3,0,4,13,8,1,1,0,0,https://www.skysports.com/football/southampton-vs-tottenham-hotspur/464913
18th March 2023,3:00pm,Molineux,"31,570",Wolverhampton Wanderers,2,Leeds United,4,65.9,34.1,23,11,8,4,9,5,6,2,83.1,67.7,4,2,5,4,2,0,71.4,66.7,59.3,40.7,0,6,15,9,3,5,2,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-leeds-united/464914
18th March 2023,5:30pm,Stamford Bridge,"40,025",Chelsea,2,Everton,2,68.9,31.1,20,12,7,3,3,4,10,5,83.9,67.1,0,3,8,2,2,1,73.3,65,67.9,32.1,1,5,8,12,2,2,0,0,https://www.skysports.com/football/chelsea-vs-everton/464909
17th March 2023,8:00pm,The City Ground,"29,362",Nottingham Forest,1,Newcastle United,2,38.4,61.6,5,15,3,4,2,5,0,6,67.4,79.7,0,2,3,7,1,1,75,73.3,34.2,65.8,2,2,17,9,5,1,0,0,https://www.skysports.com/football/nottingham-forest-vs-newcastle-united/464912
15th March 2023,7:30pm,Amex Stadium,"30,933",Brighton and Hove Albion,1,Crystal Palace,0,57.1,42.9,11,11,5,3,5,6,1,2,84.3,80.2,0,2,1,4,2,0,55,73.3,76.9,23.1,3,4,13,20,1,2,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-crystal-palace/464707
15th March 2023,7:30pm,St. Mary's Stadium,"30,438",Southampton,0,Brentford,2,66.4,33.6,7,11,1,5,3,2,3,4,82.4,64.4,0,3,3,3,1,1,37.5,55,41.5,58.5,2,0,14,10,1,2,0,0,https://www.skysports.com/football/southampton-vs-brentford/464703
12th March 2023,2:00pm,Craven Cottage,"24,426",Fulham,0,Arsenal,3,44.7,55.3,12,15,2,7,6,3,4,5,82.7,86.5,0,4,4,8,2,2,57.1,70,59.3,40.7,4,2,10,9,0,1,0,0,https://www.skysports.com/football/fulham-vs-arsenal/464898
12th March 2023,2:00pm,Old Trafford,"73,439",Manchester United,0,Southampton,0,46.7,53.3,10,17,4,4,3,4,3,9,78,84.5,2,1,7,8,0,2,43.5,78.6,68.8,31.3,4,4,12,9,2,0,1,0,https://www.skysports.com/football/manchester-united-vs-southampton/464901
12th March 2023,2:00pm,London Stadium,"62,472",West Ham United,1,Aston Villa,1,40.8,59.2,17,12,6,4,8,4,3,4,82.4,87,2,3,13,2,6,1,55.6,66.7,60,40,3,4,9,6,1,0,0,0,https://www.skysports.com/football/west-ham-united-vs-aston-villa/464904
12th March 2023,4:30pm,"St James' Park, Newcastle","52,240",Newcastle United,2,Wolverhampton Wanderers,1,42.1,57.9,19,7,8,4,3,3,8,0,78.8,81.2,3,0,10,3,0,0,46.2,60,52.2,47.8,3,6,11,10,1,2,0,0,https://www.skysports.com/football/newcastle-united-vs-wolverhampton-wanderers/464902
11th March 2023,12:30p,Vitality Stadium,"10,536",Bournemouth,1,Liverpool,0,30.7,69.3,5,15,2,6,3,8,0,1,65.5,83.4,2,3,3,8,2,4,63.6,68.2,54.8,45.2,5,1,7,9,2,1,0,0,https://www.skysports.com/football/bournemouth-vs-liverpool/464895
11th March 2023,3:00pm,Goodison Park,"39,036",Everton,1,Brentford,0,33.3,66.7,13,12,6,4,6,6,1,2,62.6,77.4,1,3,5,8,3,1,56,81.8,43.9,56.1,3,5,11,12,2,1,0,0,https://www.skysports.com/football/everton-vs-brentford/464897
11th March 2023,3:00pm,Elland Road,"36,471",Leeds United,2,Brighton and Hove Albion,2,38,62,12,15,4,3,3,8,5,4,82,86.1,0,2,4,7,3,3,71.4,54.2,29.4,70.6,2,2,12,9,1,1,0,0,https://www.skysports.com/football/leeds-united-vs-brighton-and-hove-albion/464899
11th March 2023,3:00pm,The King Power Stadium,"32,170",Leicester City,1,Chelsea,3,48.4,51.6,17,12,7,6,4,3,6,3,83,84.4,3,2,2,5,0,4,73.3,58.3,65.5,34.5,3,5,10,11,1,2,1,0,https://www.skysports.com/football/leicester-city-vs-chelsea/464900
11th March 2023,3:00pm,Tottenham Hotspur Stadium,"61,460",Tottenham Hotspur,3,Nottingham Forest,1,55.2,44.8,15,9,7,5,3,2,5,2,87.1,81.3,0,1,2,10,1,1,60,87.5,60.7,39.3,4,4,13,13,3,1,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-nottingham-forest/464903
11th March 2023,5:30pm,Selhurst Park,"25,844",Crystal Palace,0,Manchester City,1,32.2,67.8,4,14,0,4,0,5,4,5,75.2,87.3,0,2,2,6,3,2,72.7,50,42.9,57.1,3,0,11,17,2,2,0,0,https://www.skysports.com/football/crystal-palace-vs-manchester-city/464896
6th March 2023,8:00pm,Gtech Community Stadium,"17,025",Brentford,3,Fulham,2,36.2,63.8,14,9,6,5,7,4,1,0,66.8,82.8,3,0,2,3,3,1,68.2,58.3,69.2,30.8,3,3,12,17,0,3,0,0,https://www.skysports.com/football/brentford-vs-fulham/464887
5th March 2023,2:00pm,The City Ground,"29,353",Nottingham Forest,2,Everton,2,57.1,42.9,10,10,4,3,2,2,4,5,76.7,66.5,0,2,3,3,0,0,70.8,61.9,41.2,58.8,1,2,11,17,3,5,0,0,https://www.skysports.com/football/nottingham-forest-vs-everton/464892
5th March 2023,4:30pm,Anfield,"53,001",Liverpool,7,Manchester United,0,59.6,40.4,18,8,8,4,5,3,5,1,78,71,6,2,4,3,0,4,82.4,66.7,42.9,57.1,4,1,13,14,2,3,0,0,https://www.skysports.com/football/liverpool-vs-manchester-united/464890
4th March 2023,12:30p,Etihad Stadium,"53,419",Manchester City,2,Newcastle United,0,56.3,43.7,11,5,3,2,6,1,2,2,86.5,80.7,2,1,8,4,0,1,46.2,63.6,56.3,43.8,2,1,8,13,2,4,0,0,https://www.skysports.com/football/manchester-city-vs-newcastle-united/464891
4th March 2023,3:00pm,Emirates Stadium,"60,222",Arsenal,3,Bournemouth,2,80.1,19.9,31,4,9,4,10,0,12,0,88.6,57.6,1,2,17,1,0,0,58.8,75,55.9,44.1,2,6,6,8,0,2,0,0,https://www.skysports.com/football/arsenal-vs-bournemouth/464885
4th March 2023,3:00pm,Villa Park,"41,893",Aston Villa,1,Crystal Palace,0,58.1,41.9,8,3,1,0,4,2,3,1,87.8,83.8,1,0,2,4,0,5,61.5,59.1,66.7,33.3,0,1,14,17,2,3,0,1,https://www.skysports.com/football/aston-villa-vs-crystal-palace/464886
4th March 2023,3:00pm,Amex Stadium,"31,523",Brighton and Hove Albion,4,West Ham United,0,65.8,34.2,20,3,9,2,7,0,4,1,90.5,78.8,2,0,7,3,0,0,50,45.5,57.1,42.9,2,5,6,8,0,3,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-west-ham-united/464888
4th March 2023,3:00pm,Stamford Bridge,"39,905",Chelsea,1,Leeds United,0,57.2,42.8,13,11,3,2,8,6,2,3,87.6,79.3,3,0,5,7,2,2,65.4,65.2,46.7,53.3,2,2,11,7,2,0,0,0,https://www.skysports.com/football/chelsea-vs-leeds-united/464889
4th March 2023,3:00pm,Molineux,"31,585",Wolverhampton Wanderers,1,Tottenham Hotspur,0,46.5,53.5,8,21,5,6,3,6,0,9,81.5,85.8,2,2,4,8,3,1,50,60,47.4,52.6,6,4,11,18,1,1,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-tottenham-hotspur/464894
4th March 2023,5:30pm,St. Mary's Stadium,"30,139",Southampton,1,Leicester City,0,34.9,65.1,11,11,5,0,2,7,4,4,68.8,79,0,3,3,4,4,2,42.9,63.6,31.6,68.4,0,4,12,11,4,2,0,0,https://www.skysports.com/football/southampton-vs-leicester-city/464893
1st March 2023,7:45pm,Emirates Stadium,"60,213",Arsenal,4,Everton,0,73.1,26.9,15,8,5,5,5,2,5,1,87.6,67.5,4,1,5,1,4,2,100,66.7,42.3,57.7,5,1,5,12,0,2,0,0,https://www.skysports.com/football/arsenal-vs-everton/464695
1st March 2023,8:00pm,Anfield,"53,259",Liverpool,2,Wolverhampton Wanderers,0,56.8,43.2,15,4,6,1,6,2,3,1,83.1,80.1,3,1,5,2,1,3,83.3,57.1,42.9,57.1,1,4,13,14,2,3,0,0,https://www.skysports.com/football/liverpool-vs-wolverhampton-wanderers/464701
26th February 2023,1:30pm,Tottenham Hotspur Stadium,"61,613",Tottenham Hotspur,2,Chelsea,0,41.2,58.8,8,10,3,2,4,5,1,3,82.2,89.3,1,0,4,4,0,2,59.3,78.9,60.7,39.3,2,1,10,10,2,3,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-chelsea/464883
25th February 2023,3:00pm,Goodison Park,"39,309",Everton,0,Aston Villa,2,46.5,53.5,15,9,5,5,7,4,3,0,78.5,79.2,0,3,5,1,1,0,50,50,48.6,51.4,3,4,12,12,2,1,0,0,https://www.skysports.com/football/everton-vs-aston-villa/464877
25th February 2023,3:00pm,Elland Road,"36,641",Leeds United,1,Southampton,0,60.6,39.4,14,8,4,2,6,3,4,3,84.6,77.7,0,0,9,2,2,3,65.2,55.6,52.2,47.8,2,3,15,13,2,4,0,0,https://www.skysports.com/football/leeds-united-vs-southampton/464879
25th February 2023,3:00pm,The King Power Stadium,"32,227",Leicester City,0,Arsenal,1,34.1,65.9,1,10,0,2,1,3,0,5,68.9,82.4,0,1,0,8,4,4,66.7,54.5,47.1,52.9,1,0,14,9,0,1,0,0,https://www.skysports.com/football/leicester-city-vs-arsenal/464880
25th February 2023,3:00pm,London Stadium,"62,469",West Ham United,4,Nottingham Forest,0,49.1,50.9,18,8,5,3,8,3,5,2,78,78.2,4,0,12,3,1,1,69.2,60,52.1,47.9,3,1,8,5,0,0,0,0,https://www.skysports.com/football/west-ham-united-vs-nottingham-forest/464884
25th February 2023,5:30pm,Vitality Stadium,"10,481",Bournemouth,1,Manchester City,4,34,66,13,20,2,5,5,8,6,7,83,90.1,0,1,4,6,1,2,53.3,65.4,52.6,47.4,2,1,10,9,2,2,0,0,https://www.skysports.com/football/bournemouth-vs-manchester-city/464875
25th February 2023,7:45pm,Selhurst Park,"25,842",Crystal Palace,0,Liverpool,0,36.2,63.8,6,12,0,4,4,5,2,3,74.5,84.5,2,2,5,3,4,1,68.8,64.3,50,50,4,0,11,14,2,5,0,0,https://www.skysports.com/football/crystal-palace-vs-liverpool/464876
24th February 2023,8:00pm,Craven Cottage,"24,399",Fulham,1,Wolverhampton Wanderers,1,50.5,49.5,10,8,5,2,2,5,3,1,81.3,76.2,2,1,4,3,1,1,55,73.7,36.7,63.3,1,4,12,17,2,0,0,0,https://www.skysports.com/football/fulham-vs-wolverhampton-wanderers/464878
19th February 2023,2:00pm,Old Trafford,"73,578",Manchester United,3,Leicester City,0,56.9,43.1,26,19,8,3,9,9,9,7,84.6,81.1,6,2,6,6,0,1,69.6,53.8,69.6,30.4,3,5,9,9,0,2,0,0,https://www.skysports.com/football/manchester-united-vs-leicester-city/464870
19th February 2023,4:30pm,Tottenham Hotspur Stadium,"61,476",Tottenham Hotspur,2,West Ham United,0,57,43,16,6,6,1,4,4,6,1,84.6,74.9,2,0,4,7,0,0,68.4,61.1,48.7,51.3,1,4,16,10,2,1,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-west-ham-united/464873
18th February 2023,12:30p,Villa Park,"42,066",Aston Villa,2,Arsenal,4,33.4,66.6,7,20,5,5,1,8,1,7,76.8,85.6,0,5,2,9,0,2,72,55.6,48,52,2,3,13,4,2,2,0,0,https://www.skysports.com/football/aston-villa-vs-arsenal/464865
18th February 2023,3:00pm,Gtech Community Stadium,"17,122",Brentford,1,Crystal Palace,1,58.7,41.3,12,10,5,4,6,3,1,3,82.4,77.8,1,1,2,6,3,2,50,60,60,40,3,4,10,8,2,2,0,0,https://www.skysports.com/football/brentford-vs-crystal-palace/464866
18th February 2023,3:00pm,Amex Stadium,"31,619",Brighton and Hove Albion,0,Fulham,1,65.3,34.7,21,5,7,2,10,0,4,3,87.7,73.1,5,0,10,2,4,0,40,38.5,59.3,40.7,1,7,12,14,0,5,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-fulham/464867
18th February 2023,3:00pm,Stamford Bridge,"40,152",Chelsea,0,Southampton,1,61.3,38.7,17,8,5,5,5,3,7,0,85.9,75.3,2,0,8,2,3,1,76.5,71,52,48,3,4,16,25,3,6,0,0,https://www.skysports.com/football/chelsea-vs-southampton/464868
18th February 2023,3:00pm,Goodison Park,"39,232",Everton,1,Leeds United,0,50,50,15,8,6,0,7,4,2,4,73.4,69,2,1,6,4,1,0,56.5,58.3,47.4,52.6,0,3,8,6,2,3,0,0,https://www.skysports.com/football/everton-vs-leeds-united/464869
18th February 2023,3:00pm,The City Ground,"29,365",Nottingham Forest,1,Manchester City,1,27,73,4,23,1,6,2,11,1,6,65.1,88,1,2,0,10,2,0,61.5,70,56.5,43.5,5,0,8,6,1,0,0,0,https://www.skysports.com/football/nottingham-forest-vs-manchester-city/464872
18th February 2023,3:00pm,Molineux,"31,222",Wolverhampton Wanderers,0,Bournemouth,1,68.6,31.4,15,5,4,1,5,1,6,3,84.4,67.7,0,1,12,2,2,0,68.8,44.4,44.2,55.8,0,4,12,10,3,3,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-bournemouth/464874
18th February 2023,5:30pm,"St James' Park, Newcastle","52,758",Newcastle United,0,Liverpool,2,37.4,62.6,14,13,4,7,7,4,3,2,82,88.1,3,5,6,7,3,0,90,50,68.8,31.3,5,4,3,8,1,1,1,0,https://www.skysports.com/football/newcastle-united-vs-liverpool/464871
15th February 2023,7:30pm,Emirates Stadium,"60,276",Arsenal,1,Manchester City,3,63.5,36.5,10,9,1,6,4,1,5,2,83,72.3,2,4,1,3,0,3,38.5,70.6,44,56,2,0,11,15,2,4,0,0,https://www.skysports.com/football/arsenal-vs-manchester-city/464745
13th February 2023,8:00pm,Anfield,"53,027",Liverpool,2,Everton,0,59.1,40.9,15,6,6,1,4,4,5,1,86.3,78.7,2,1,3,3,4,2,71.4,44.4,57.1,42.9,1,4,8,16,1,3,0,0,https://www.skysports.com/football/liverpool-vs-everton/464861
12th February 2023,2:00pm,Elland Road,"36,919",Leeds United,0,Manchester United,2,33,67,16,11,6,5,4,4,6,2,67.7,81.6,1,2,7,3,3,3,56.5,70,57.1,42.9,3,6,10,13,2,1,0,0,https://www.skysports.com/football/leeds-united-vs-manchester-united/464859
12th February 2023,4:30pm,Etihad Stadium,"53,392",Manchester City,3,Aston Villa,1,67.2,32.8,17,6,9,2,3,2,5,2,90,81.3,4,0,8,4,1,4,42.9,42.9,66.7,33.3,1,5,13,14,1,2,0,0,https://www.skysports.com/football/manchester-city-vs-aston-villa/464862
11th February 2023,12:30p,London Stadium,"62,471",West Ham United,1,Chelsea,1,28.2,71.8,10,12,2,4,5,4,3,4,75.7,90.5,1,1,5,6,3,4,60.9,81,45.5,54.5,3,1,9,11,1,1,0,0,https://www.skysports.com/football/west-ham-united-vs-chelsea/464864
11th February 2023,3:00pm,Emirates Stadium,"60,254",Arsenal,1,Brentford,1,69.2,30.8,23,9,7,2,10,4,6,3,86.4,66.3,1,3,7,4,1,1,60,66.7,28.9,71.1,1,6,9,9,0,2,0,0,https://www.skysports.com/football/arsenal-vs-brentford/464855
11th February 2023,3:00pm,Selhurst Park,"24,827",Crystal Palace,1,Brighton and Hove Albion,1,25.8,74.2,6,17,1,7,2,5,3,5,70.4,89.9,0,5,1,6,3,2,73.7,56.5,38.5,61.5,6,0,10,11,4,1,0,0,https://www.skysports.com/football/crystal-palace-vs-brighton-and-hove-albion/464857
11th February 2023,3:00pm,Craven Cottage,"24,244",Fulham,2,Nottingham Forest,0,50,50,16,10,3,1,11,7,2,2,79,77,2,1,5,4,1,3,50,80,52.9,47.1,1,1,9,11,0,1,0,0,https://www.skysports.com/football/fulham-vs-nottingham-forest/464858
11th February 2023,3:00pm,The King Power Stadium,"32,184",Leicester City,4,Tottenham Hotspur,1,48.9,51.1,15,11,7,4,6,6,2,1,78.4,82.7,2,0,1,5,2,2,63,60,27.8,72.2,3,2,14,9,5,2,0,0,https://www.skysports.com/football/leicester-city-vs-tottenham-hotspur/464860
11th February 2023,3:00pm,St. Mary's Stadium,"29,751",Southampton,1,Wolverhampton Wanderers,2,40.9,59.1,17,11,2,2,10,2,5,7,70.5,80.5,0,0,5,2,0,3,68.8,57.1,67.4,32.6,0,1,12,14,2,3,0,1,https://www.skysports.com/football/southampton-vs-wolverhampton-wanderers/464863
11th February 2023,5:30pm,Vitality Stadium,"10,419",Bournemouth,1,Newcastle United,1,33.2,66.8,11,15,5,7,5,5,1,3,66.7,81.8,2,0,4,6,2,5,55,60,51.5,48.5,6,3,8,10,2,3,0,0,https://www.skysports.com/football/bournemouth-vs-newcastle-united/464856
8th February 2023,8:00pm,Old Trafford,"73,456",Manchester United,2,Leeds United,2,65.9,34.1,24,8,7,2,9,4,8,2,81,64.4,1,1,6,5,1,0,57.9,66.7,50,50,1,5,7,11,1,3,0,0,https://www.skysports.com/football/manchester-united-vs-leeds-united/464710
5th February 2023,2:00pm,The City Ground,"29,363",Nottingham Forest,1,Leeds United,0,30.1,69.9,6,10,2,4,2,3,2,3,54.5,74.9,0,1,0,2,2,3,65.4,73.7,48.3,51.7,4,1,15,14,4,2,0,0,https://www.skysports.com/football/nottingham-forest-vs-leeds-united/464852
5th February 2023,4:30pm,Tottenham Hotspur Stadium,"61,747",Tottenham Hotspur,1,Manchester City,0,35.2,64.8,12,15,3,5,5,5,4,5,74.6,87.6,2,0,4,6,2,1,57.1,47.4,36,64,5,2,19,14,2,3,1,0,https://www.skysports.com/football/tottenham-hotspur-vs-manchester-city/464853
4th February 2023,12:30p,Goodison Park,"39,314",Everton,1,Arsenal,0,29.5,70.5,12,15,4,3,5,7,3,5,71.4,86.5,4,0,7,5,3,0,61.1,78.6,58.6,41.4,2,3,13,8,4,1,0,0,https://www.skysports.com/football/everton-vs-arsenal/464849
4th February 2023,3:00pm,Villa Park,"42,055",Aston Villa,2,Leicester City,4,63.2,36.8,19,9,4,5,6,4,9,0,86.7,74.8,0,4,11,3,2,8,66.7,69.6,54.5,45.5,1,3,10,10,0,3,0,0,https://www.skysports.com/football/aston-villa-vs-leicester-city/464845
4th February 2023,3:00pm,Gtech Community Stadium,"17,051",Brentford,3,Southampton,0,48.3,51.7,14,14,4,6,6,4,4,4,69.2,75.6,3,1,4,4,1,2,53.8,66.7,44.4,55.6,5,0,10,9,1,2,0,0,https://www.skysports.com/football/brentford-vs-southampton/464846
4th February 2023,3:00pm,Amex Stadium,"31,600",Brighton and Hove Albion,1,Bournemouth,0,71.8,28.2,20,12,6,2,7,7,7,3,89.3,72.3,2,0,7,3,0,1,52.9,60,29.2,70.8,2,5,14,7,3,1,0,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-bournemouth/464847
4th February 2023,3:00pm,Old Trafford,"73,420",Manchester United,2,Crystal Palace,1,53.1,46.9,14,10,5,3,5,5,4,2,85.4,80.3,0,2,5,5,1,4,57.1,56.3,57.9,42.1,2,3,9,9,1,2,1,0,https://www.skysports.com/football/manchester-united-vs-crystal-palace/464850
4th February 2023,3:00pm,Molineux,"31,664",Wolverhampton Wanderers,3,Liverpool,0,41.8,58.2,12,22,6,4,5,8,1,10,74.9,85.5,3,1,2,7,1,2,62.5,70,46.7,53.3,2,3,9,7,1,1,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-liverpool/464854
4th February 2023,5:30pm,"St James' Park, Newcastle","52,256",Newcastle United,1,West Ham United,1,62.7,37.3,8,10,2,1,3,5,3,4,80.6,69,3,1,4,2,0,2,61.5,57.9,57.1,42.9,0,1,11,13,2,1,0,0,https://www.skysports.com/football/newcastle-united-vs-west-ham-united/464851
3rd February 2023,8:00pm,Stamford Bridge,"40,041",Chelsea,0,Fulham,0,66.9,33.1,12,10,3,4,7,3,2,3,85.8,72.2,1,0,6,2,3,0,54.2,73.7,52,48,4,2,16,12,1,4,0,0,https://www.skysports.com/football/chelsea-vs-fulham/464848
23rd January 2023,8:15pm,Craven Cottage,"24,190",Fulham,0,Tottenham Hotspur,1,52.9,47.1,10,10,5,3,4,4,1,3,82.1,78.3,1,1,3,8,2,0,52.6,52.2,30,70,2,5,10,10,1,3,0,0,https://www.skysports.com/football/fulham-vs-tottenham-hotspur/464838
22nd January 2023,2:00pm,Elland Road,"36,260",Leeds United,0,Brentford,0,58.5,41.5,9,6,5,0,1,5,3,1,73.7,64.5,0,0,2,3,1,1,47.1,42.9,50,50,0,5,10,18,2,2,0,0,https://www.skysports.com/football/leeds-united-vs-brentford/464839
